Result_ID;Company;System;Database_Software; Operating_System;Server_CPU_Type;nb_CPU's;Total_Processors;Total Cores;nb_CPU's;Total_Server_CPU's;Total_Cores;Total_Threads;Cluster;;Date_Submitted;CPU_Type;CPU_user;CPU_sys;CPU_iowait;CPU_idle;dskreads;pagreads;bufreads;rdcached;dskwrits;pagwrits;bufwrits;wrcached;bufwaits;lockreqs;lokwaits;deadlks;dltouts;ckpwaits ;compress;lchwaits;Taille block;V_Rot;Buffer_Pool;Read_Latency ;Write_Latency;bandwidth_reading;bandwidth_Write;Total_size_DB;Nbr_predicates_table ;Number_join_predicates_query ;size_table_participating _join;aggregate;sort;groupby;Number_tables_involving_query;Nbr_Join_Pred_IDX;Access _index_table;Nb_join_pred;Workload characteristic ;Currency;CPU_Cost ;IO_Cost;Total_Sys_Cost
1;Acer                ;Altos R710  12GB/3.6GHz/2P  C/S with 4 Altos R710 ;Microsoft Windows Server 2003 Enterprise Edition                      ;Red Hat Enterprise Linux Server 7.5    ;Intel Xeon - 3.6 GHz                                                  ;4;4;8;2;2;8;16;N;;01/12/2006;Intel Itanium2 Dual-Core - 1.6 GHz                                    ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20664;0.26130;132.2 ;131.5;1;1;2;customer(100), lineorder(30), supplier(20), date(14);COUNT ;2;3;4;2;3;5;1groupby, 4join, 5table ;USD;29,02;2872,65;2901,67
2;Bull                ;Bull Escala PL6460R                               ;IBM AIX 5L V5.3                                                       ;Red Hat Enterprise Linux Server 7.6;IBM POWER6 - 5.0 GHz                                                  ;32;32;32;32;32;256;256;N;;6/15/2008;Intel Itanium2 Dual-Core - 1.6 GHz                                    ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20665;0.26131;132.2 ;131.6;1;2;4;lineorder (20), customer(20) , supplier(40);COUNT, SUM;2;3;4;4;2;4;1groupby, 2join, 3table ;USD;26,95;2668,42;2695,37
3;Bull                ;Bull Escala PL860R                                ;IBM AIX 5L V5.3                                                       ;Red Hat Enterprise Linux Server 7.7;IBM POWER6 - 4.2 GHz                                                  ;16;16;16;4;4;32;32;N;;06/11/2008;Intel Itanium2 Dual-Core - 1.6 GHz                                    ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20666;0.26132;132.2 ;131.7;1;3;4;lineorder (20), customer(20) , supplier(40);AVG;1;1;4;3;1;5;1groupby, 1join, 2table ;USD;27,53;2725,96;2753,49
4;Bull                ;Bull Escala PL1660R                               ;IBM AIX 5L V5.3                                                       ;Red Hat Enterprise Linux Server 7.8;IBM POWER6 - 4.7 GHz                                                  ;16;16;16;8;8;2;4;N;;12/17/2007;Intel Itanium2 Dual-Core - 1.6 GHz                                    ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20667;0.26133;132.2 ;131.8;1;1;4;lineorder (20), customer(20) , supplier(40);AVG;2;2;5;3;2;4;1groupby, 5join, 6table ;USD;68,68;6799,06;6867,74
5;Bull                ;Bull Escala PL1660R                               ;IBM AIX 5L V5.3                                                       ;Red Hat Enterprise Linux Server 7.9;IBM POWER6 - 4.7 GHz                                                  ;16;16;16;2;2;2;4;N;;12/17/2007;Intel Itanium2 Dual-Core - 1.6 GHz                                    ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20668;0.26134;132.2 ;131.9;1;2;2;lineorder (20), customer(20) , supplier(40);AVG;2;2;3;3;1;4;1select, 1where, 1table ;USD;44,13;4369,02;4413,15
6;Bull                ;Bull NovaScale 5080 C/S                           ;Microsoft Windows Server 2003 Datacenter Edition x64                  ;Red Hat Enterprise Linux Server 7.10;Intel Itanium2 - 1.5 GHz                                              ;16;16;16;8;8;16;16;N;;6/30/2004;Intel Itanium2 Dual-Core - 1.6 GHz                                    ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20669;0.26135;132.2 ;131.10;1;1;4;lineorder (20), customer(20) , supplier(40);AVG;2;2;4;3;3;5;1groupby, 1unionall, 6join, 5table ;USD;41,03;4062,38;4103,41
7;Bull                ;Bull Escala PL3200R                               ;IBM AIX 5L V5.2                                                       ;Red Hat Enterprise Linux Server 7.11;IBM POWER4 - 1300 MHz                                                 ;26;52;208;32;16;76;76;N;;06/03/2002;Intel Xeon X5365 Quad-Core - 3.00 GHz                                 ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20670;0.26136;132.2 ;131.11;1;2;4;lineorder (20), customer(20) , supplier(40);AVG;3;2;4;2;2;4;1groupby, 7join, 7table ;USD;14,66;1451,39;1466,05
8;Bull                ;Bull Escala PL800R                                ;IBM AIX 4.3.3                                                         ;Red Hat Enterprise Linux Server 7.12;IBM RS64-IV - 750 MHz                                                 ;2;24;96;8;8;20;20;N;;9/26/2001;Intel Xeon X5365 Quad-Core - 3.00 GHz                                 ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20671;0.26137;132.2 ;131.12;1;2;3;lineorder (20), customer(20) , supplier(40);AVG;3;2;4;2;3;3;1groupby, 5join, 6table ;USD;14,66;1451,17;1465,83
9;Bull                ;Bull Escala PL600R C/S                            ;IBM AIX 4.3.3                                                         ;Red Hat Enterprise Linux Server 7.13;IBM RS64-IV - 668 MHz                                                 ;1;4;72;6;6;12;12;N;;07/03/2001;Intel Xeon E7-8890 v3 2.50GHz                                         ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20672;0.26138;132.2 ;131.13;1;1;3;lineorder (20), customer(20) , supplier(40);AVG;2;1;5;2;1;4;1groupby, 3join, 4table ;USD;14,66;1451,17;1465,83
10;Bull                ;Bull Escala Epc 810 c/s                           ;IBM AIX 4.3.3                                                         ;Red Hat Enterprise Linux Server 7.14;IBM RS64-III - 500 MHz                                                ;1;4;60;8;8;24;24;N;;5/28/2001;Intel Xeon E7-4890 v2 - 2.80 GHz                                      ;0,5;5,1;0,5;98;1397183;19989379994;4720830;;19724;885752;3121469;3121469;3;6056020;0;0;0;1;1707;1520;4;10 000;8;4.20673;0.26139;132.2 ;131.14;1;2;2;lineorder (20), customer(20) , supplier(40);AVG;1;2;3;2;3;5;1groupby, 2join, 3table, 1write ;USD;11,84;1172,51;1184,35
